Index,ID,User_ID,Friends_Count,Favourites_Count,Listed_Count,Status_Count,Created_at,Retweet_Count,Favourite_Count,Created_at,Text
64,1094350227618889730,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,1,2019-02-09 21:40:00,"From Eagles to Elton, classic songs are packing boomers into Twin Cities nightspots https://t.co/yhwLtjib2V"
65,1094345449476182017,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,1,2019-02-09 21:21:01,A review of thousands of FDA documents reveals how drugs that are poorly manufactured or contaminated can reach con… https://t.co/YXNRlVuROC
66,1094340663246835712,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,2,2019-02-09 21:02:00,"Social media junkies make riskier decisions, research shows. https://t.co/1cpmzHm2bV"
67,1094335887662608384,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,5,2019-02-09 20:43:02,"Storybook chalet-style home in Tonka Bay is ""like stepping back in time."" https://t.co/cTwbq5OBrJ https://t.co/3xKn6QdXpK"
68,1094334041397039109,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,1,2019-02-09 20:35:41,"Virginia's Ralph Northam pledges to remain governor even as calls mounted for his lieutenant governor to resign, ca… https://t.co/Tk9BnpYnpP"
69,1094324517223116800,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,1,2019-02-09 19:57:51,"From Eagles to Elton, classic songs are packing boomers into Twin Cities nightspots. https://t.co/obPIUuBI7a https://t.co/WyxVa3tRr9"
70,1094321392538058753,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,2,6,2019-02-09 19:45:26,"Britain's Prince Philip, 97, has agreed to surrender his driver's licence after last month's crash that left two wo… https://t.co/iz6enupKUZ"
71,1094309858306899969,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,4,7,2019-02-09 18:59:36,A report of a horse in the basement of an Inver Grove Heights home spurred police into action.… https://t.co/qv3eL0P3mY
72,1094293227597905921,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,9,2019-02-09 17:53:31,"Democratic Sen. Elizabeth Warren made her bid for the presidency official today, grounding her 2020 campaign in a p… https://t.co/jsWBZKiWBW"
73,1094288855786799104,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,3,15,2019-02-09 17:36:08,"This is Dave. Dave went missing on one of those cold January nights. We won't spoil the surprise twist ending here,… https://t.co/HCMChqlXcY"
74,1094284828093149184,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,1,2019-02-09 17:20:08,Update: Blaine police have identified the man who they say called them to report that he had killed his wife. https://t.co/hpoQTfZkU0
75,1094276237449674752,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,0,2019-02-09 16:46:00,A Blaine man is in custody after police said he called them to report that he had killed his wife. https://t.co/hpoQTfZkU0
76,1094271940360060930,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,2,2019-02-09 16:28:55,Calls are growing for Virginia's lieutenant governor to resign after two accusations of sexual assault.… https://t.co/mqH0Ie7Lj8
77,1094261141914689536,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,8,2019-02-09 15:46:01,"As the 2020 buzz grew, so did demand for Amy Klobuchar as a guest on national TV news shows. https://t.co/rnFnpGzbPn https://t.co/jB2eY4AbLI"
78,1094259393837838336,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,6,12,2019-02-09 15:39:04,"From her beginnings in Minnesota to three-term U.S. senator, here are eight things to know about Amy Klobuchar:… https://t.co/NtES7585ER"
79,1094257282475540480,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,9,34,2019-02-09 15:30:41,"With her expected bid for president, Sen. Amy Klobuchar is preparing to mix it up on the national stage. An announc… https://t.co/Z2EqrlqOYI"
80,1094239592298041345,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,10,2019-02-09 14:20:23,Gwen Walz is taking on key policy roles as Minnesota's first first lady since 2010. https://t.co/FhvLsyviJ3 https://t.co/MFSDB8ZkX2
81,1094230969849139200,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,3,2019-02-09 13:46:07,"Good morning! A cold start this morning, but then ""warming"" up to 9 above today. A shot of snow coming Sunday, and… https://t.co/Jx9Pyic7Md"
82,1094113414467575809,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,1,2019-02-09 05:59:00,"46-year-old man in custody after telling Blaine police he killed his wife, authorities say. https://t.co/hpoQTfHJvq https://t.co/ayWse1LbMp"
83,1094109891009044481,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,6,2019-02-09 05:45:00,"Country superstar Eric Church doubles down at Target Center, saving his best for the second half of his Minneapolis… https://t.co/3Z0zKNTIr7"
84,1094106116454109184,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,6,12,2019-02-09 05:30:00,Homeless to camp out at Ramsey County Sheriff's Office after Union Depot is closed to them. https://t.co/Cde8f5YZtp https://t.co/ZrDyxpD47v
85,1094102717918834688,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,1,2019-02-09 05:16:30,"#twolves up 18, then down 14 before making it close in loss. https://t.co/1sSrRV9NMy"
