Index,Source,P/C,,,,Count
272,"d Days'<\/strong><\/p>\n<p>Rapper-singer Mars Jackson, who released his debut album, &ldquo;Good Days Never Last Forever,&rdquo; last year,&nbsp;is in the midst of working on a second project, &ldquo;The Coffee Break Tape 2,&rdquo; which he says will depart from that previous effort.<\/p>\n<p>&ldquo;This one is gonna be more of why people listened or fell in love with my music: Rapping and songwriting is what I do best. Combine those elements together over a cup of joe at your finest hour of the day and you&rsquo;re most likely talking &rsquo;bout Mars, so that&rsquo;s where I&rsquo;m going with this project.&rdquo;<\/p>\n<p>The debut was the first hip-hop album released on Misra.<\/p>\n<p>&ldquo;Hopefully, this next album is on Misra, but I&rsquo;m in my creative mode, so we&rsquo;ll see.&rdquo;<\/p>\n<div class=\""pg-embedcode-largeimage\"" style=\""display: none;\""><a class=\""pg-embedcode-largeimage-imgwrapper\"" target=\""_blank\"" data-pg-embedcode-largeimage-behavior=\""\""><img src=\""https:\/\/www.post-gazette.com\/image\/2019\/02\/01\/1000x\/Small-jpg\"" alt=\""Isaiah Small\"" \/><\/a><span class=\""pg-embedcode-largeimage-text\""><span class=\""pg-embedcode-largeimage-caption\"">Isaiah Small artwork.",Professional - gazette,,,,1
273,"""Evan Vucci\/AP""",Professional - ap,,,,1
274,"""Alexandra Wimley\/Post-Gazette""",Professional - gazette,,,,37
275,"""Michael Henninger""",Professional - gazette,,,,1
276,"""Brian Smithmyer\/KDKA-TV""",Professional - kdka-tv,,,,1
277,"""Matt Rourke\/AP""",Professional - ap,,,,2
278,"""Chris Knight\/AP""",Professional - ap,,,,1
279,"""Jabin Botsford\/Bloomberg""",Professional - bloomberg,,,,1
280,"""Titanic Sinclair""",                              ,,,,1
281,"""Investigation Discovery\/Kim Cook""",                              ,,,,1
282,"""Ilkin Guliyev\/Dreamstime""",Professional - dreamstime,,,,4
283,"""Courtesy of Longview Power""",Professional - longview power,,,,2
284,""" George Washington's Mount Vernon""",                              ,,,,2
285,"""George Washington's Mount Vernon""",                              ,,,,1
286,"""Jordin Althaus\/NBC""",Professional - nbc,,,,1
287,"""Elise Amendola\/AP""",Professional - ap,,,,1
288,"""Jim Wilson\/The New York Times""",Professional - times,,,,2
289,"""Benoit Moser\/BSPP via AP""",Professional - ap,,,,3
290,"""Paris Fire Department via AP""",Professional - ap,,,,1
291,"""Paris Fire Dept. via AP""",Professional - ap,,,,1
292,"""Duquesne University""",Professional - university,,,,1
293,"""Prakash Mathema\/AFP\/Getty Images""",Professional - getty,,,,1
294,"""AP photo\/Moises Castillo""",Professional - ap,,,,1
295,"""Angela Weiss\/AFP\/Getty Images""",Professional - getty,,,,1
296,"""Alex Caprara\/Post-Gazette""",Professional - gazette,,,,1
297,"""AP photo\/Karim Kadim""",Professional - ap,,,,1
298,"""Pablo Martinez Monsivais\/AP""",Professional - ap,,,,1
299,"""Paul Sancya\/AP Photo""",Professional - ap,,,,1
300,"""Alex Brandon\/AP""",Professional - ap,,,,2
301,"""Scott Heppell\/AFP\/Getty Images""",Professional - getty,,,,1
302,"""AP photo\/Alex Gallardo""",Professional - ap,,,,2
303,"""The White House""",Professional - the white house,,,,4
304,"""AP photo\/David Zalubowski""",Professional - ap,,,,1
305,"""Alex Edelman\/Getty Images""",Professional - getty,,,,1
306,"""Vincenzo Pinto\/AFP\/Getty Images""",Professional - getty,,,,1
307,"""AP photo\/Andrew Medichini""",Professional - ap,,,,2
308,"""AP photo\/Fernando Llano""",Professional - ap,,,,4
309,&lt; \/span&gt;,                              ,,,,2
310,"""John P Johnson\/FX""",                              ,,,,1
311,"""FX""",Professional - news,,,,1
312,"""Submitted""",Citizen - submitted,,,,3
313,"""Joyce Mendelsohn\/Post-Gazette""",Professional - gazette,,,,4
314,"""Vianney Le Caer\/Invision\/AP""",Professional - ap,,,,1
